year,moving_temp,,avg_temp
1750,,,8.72
1751,,,7.98
1752,,,5.78
1753,,,8.39
1754,,,8.47
1755,,,8.36
1756,,,8.85
1757,8.19625,,9.02
1758,7.94875,,6.74
1759,7.95,,7.99
1760,8.12625,,7.19
1761,8.17375,,8.77
1762,8.19125,,8.61
1763,8.08375,,7.5
1764,8.0275,,8.4
1765,7.93125,,8.25
1766,8.14,,8.41
1767,8.16875,,8.22
1768,8.1175,,6.78
1769,7.9825,,7.69
1770,7.8675,,7.69
1771,7.91125,,7.85
1772,7.885,,8.19
1773,7.88125,,8.22
1774,7.92625,,8.77
1775,8.04625,,9.18
1776,8.23625,,8.3
1777,8.3075,,8.26
1778,8.41375,,8.54
1779,8.555,,8.98
1780,8.71,,9.43
1781,8.695,,8.1
1782,8.58625,,7.9
1783,8.39875,,7.68
1784,8.34375,,7.86
1785,8.23125,,7.36
1786,8.19625,,8.26
1787,8.0775,,8.03
1788,7.955,,8.45
1789,7.98375,,8.33
1790,7.99375,,7.98
1791,8.0625,,8.23
1792,8.09125,,8.09
1793,8.2,,8.23
1794,8.23375,,8.53
1795,8.27375,,8.35
1796,8.25125,,8.27
1797,8.27375,,8.51
1798,8.36,,8.67
1799,8.395,,8.51
1800,8.44375,,8.48
1801,8.48875,,8.59
1802,8.495,,8.58
1803,8.51375,,8.5
1804,8.585,,8.84
1805,8.59125,,8.56
1806,8.56125,,8.43
1807,8.5325,,8.28
1808,8.42625,,7.63
1809,8.2375,,7.08
1810,8.03,,6.92
1811,7.825,,6.86
1812,7.60125,,7.05
1813,7.49875,,7.74
1814,7.39375,,7.59
1815,7.26375,,7.24
1816,7.1775,,6.94
1817,7.165,,6.98
1818,7.27875,,7.83
1819,7.3425,,7.37
1820,7.41375,,7.62
1821,7.4575,,8.09
1822,7.5325,,8.19
1823,7.5925,,7.72
1824,7.79375,,8.55
1825,7.97,,8.39
1826,8.03625,,8.36
1827,8.21625,,8.81
1828,8.285,,8.17
1829,8.26625,,7.94
1830,8.3075,,8.52
1831,8.2975,,7.64
1832,8.16,,7.45
1833,8.1125,,8.01
1834,8.08625,,8.15
1835,7.90875,,7.39
1836,7.85,,7.7
1837,7.78,,7.38
1838,7.65375,,7.51
1839,7.6525,,7.63
1840,7.69625,,7.8
1841,7.65625,,7.69
1842,7.64,,8.02
1843,7.7375,,8.17
1844,7.73125,,7.65
1845,7.79,,7.85
1846,7.92,,8.55
1847,7.9775,,8.09
1848,8,,7.98
1849,8.03625,,7.98
1850,8.02125,,7.9
1851,8.0225,,8.18
1852,8.07875,,8.1
1853,8.1025,,8.04
1854,8.06,,8.21
1855,8.0625,,8.11
1856,8.065,,8
1857,8.0375,,7.76
1858,8.0625,,8.1
1859,8.07125,,8.25
1860,8.05375,,7.96
1861,8.03,,7.85
1862,7.94875,,7.56
1863,7.94875,,8.11
1864,7.94625,,7.98
1865,7.99875,,8.18
1866,8.0225,,8.29
1867,8.04625,,8.44
1868,8.0825,,8.25
1869,8.155,,8.43
1870,8.235,,8.2
1871,8.23625,,8.12
1872,8.2625,,8.19
1873,8.28375,,8.35
1874,8.30125,,8.43
1875,8.22875,,7.86
1876,8.2075,,8.08
1877,8.22125,,8.54
1878,8.3,,8.83
1879,8.30625,,8.17
1880,8.2975,,8.12
1881,8.2875,,8.27
1882,8.25,,8.13
1883,8.265,,7.98
1884,8.22625,,7.77
1885,8.14875,,7.92
1886,8.03875,,7.95
1887,8.00625,,7.91
1888,8.0025,,8.09
1889,8.00875,,8.32
1890,7.98875,,7.97
1891,7.99375,,8.02
1892,8.03125,,8.07
1893,8.04875,,8.06
1894,8.075,,8.16
1895,8.105,,8.15
1896,8.12,,8.21
1897,8.11625,,8.29
1898,8.1425,,8.18
1899,8.19,,8.4
1900,8.24375,,8.5
1901,8.30375,,8.54
1902,8.32125,,8.3
1903,8.33,,8.22
1904,8.315,,8.09
1905,8.3075,,8.23
1906,8.3325,,8.38
1907,8.27625,,7.95
1908,8.2375,,8.19
1909,8.1925,,8.18
1910,8.1825,,8.22
1911,8.1775,,8.18
1912,8.1875,,8.17
1913,8.19625,,8.3
1914,8.2225,,8.59
1915,8.3025,,8.59
1916,8.3075,,8.23
1917,8.2875,,8.02
1918,8.27625,,8.13
1919,8.30125,,8.38
1920,8.325,,8.36
1921,8.35875,,8.57
1922,8.33625,,8.41
1923,8.315,,8.42
1924,8.35,,8.51
1925,8.41375,,8.53
1926,8.48875,,8.73
1927,8.50625,,8.52
1928,8.54,,8.63
1929,8.49875,,8.24
1930,8.52625,,8.63
1931,8.56375,,8.72
1932,8.58875,,8.71
1933,8.565,,8.34
1934,8.5525,,8.63
1935,8.5525,,8.52
1936,8.5425,,8.55
1937,8.6,,8.7
1938,8.62875,,8.86
1939,8.63375,,8.76
1940,8.64,,8.76
1941,8.69375,,8.77
1942,8.70625,,8.73
1943,8.73625,,8.76
1944,8.77375,,8.85
1945,8.75875,,8.58
1946,8.73625,,8.68
1947,8.74125,,8.8
1948,8.74,,8.75
1949,8.7175,,8.59
1950,8.6725,,8.37
1951,8.65625,,8.63
1952,8.63,,8.64
1953,8.66625,,8.87
1954,8.65125,,8.56
1955,8.63,,8.63
1956,8.57125,,8.28
1957,8.58875,,8.73
1958,8.63875,,8.77
1959,8.65125,,8.73
1960,8.64375,,8.58
1961,8.635,,8.8
1962,8.65875,,8.75
1963,8.6875,,8.86
1964,8.70375,,8.41
1965,8.67875,,8.53
1966,8.6575,,8.6
1967,8.65375,,8.7
1968,8.64625,,8.52
1969,8.62125,,8.6
1970,8.615,,8.7
1971,8.5825,,8.6
1972,8.59375,,8.5
1973,8.64625,,8.95
1974,8.63,,8.47
1975,8.635,,8.74
1976,8.61375,,8.35
1977,8.645,,8.85
1978,8.64375,,8.69
1979,8.66,,8.73
1980,8.72,,8.98
1981,8.7475,,9.17
1982,8.76875,,8.64
1983,8.805,,9.03
1984,8.8475,,8.69
1985,8.82375,,8.66
1986,8.84125,,8.83
1987,8.87375,,8.99
1988,8.90125,,9.2
1989,8.87,,8.92
1990,8.94375,,9.23
1991,8.9625,,9.18
1992,8.98125,,8.84
1993,9.0075,,8.87
1994,9.03375,,9.04
1995,9.07875,,9.35
1996,9.05875,,9.04
1997,9.09375,,9.2
1998,9.13,,9.52
1999,9.14375,,9.29
2000,9.18875,,9.2
2001,9.25625,,9.41
2002,9.3225,,9.57
2003,9.345,,9.53
2004,9.38,,9.32
2005,9.4425,,9.7
2006,9.44375,,9.53
2007,9.49875,,9.73
2008,9.5275,,9.43
2009,9.54,,9.51
2010,9.55625,,9.7
2011,9.555,,9.52
2012,9.57875,,9.51
2013,9.5675,,9.61
2014,9.5725,,9.57
2015,9.585,,9.83
